,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-heart-rate-models,Python
89,ml-hierarchical-confusion-matrix,TypeScript
90,ml-hypersim,Python
91,ml-interspeech2022-phi_rtn,
92,ml-kge,Python
93,ml-knowledge-conflicts,Python
94,ml-live-pose,
95,ml-llarp,Python
96,ml-mgie,Python
97,ml-mkqa,Python
98,ml-mobileone,Swift
99,ml-multiple-futures-prediction,Python
100,ml-ncg,Python
101,ml-neilf,Python
102,ml-neilfpp,Python
103,ml-neuman,Python
104,ml-no-token-left-behind,Jupyter Notebook
105,ml-np-rasp,Python
106,ml-nvas3d,Python
107,ml-pointconvformer,Python
108,ml-pointersect,Python
109,ml-probabilistic-attention,Python
110,ml-projunit,Python
111,ml-qrecc,Python
112,ml-quant,Python
113,ml-reed,Python
114,ml-rlgrad,Python
115,ml-robust-expert-augmentations,Python
116,ml-sad,Python
117,ml-selfcond,Python
118,ml-shuffling-amplification,Python
119,ml-sigma-reparam,Python
120,ml-spatial-librispeech,
121,ml-spin,Python
122,ml-stable-diffusion,Python
123,ml-stabledreamer,
124,ml-stuttering-events-dataset,Python
125,ml-symphony,Svelte
126,ml-tic-clip,
127,ml-tract,Python
128,ml-transcript-translation-consistency-ratings,
129,ml-translate-vis,TypeScript
130,ml-tree-dst,Python
131,ml-tune-mode-convbn,Python
132,ml-upscale,Jupyter Notebook
133,ml-uwac,Python
134,ml-vfi-smiff,Python
135,ml-vision-transformers-ane,Python
136,openjdk,Java
137,password-manager-resources,JavaScript
138,pkl,Java
139,pkl-go,Go
140,pkl-go-examples,Go
141,pkl-intellij,Kotlin
142,pkl-jvm-examples,Groovy
143,pkl-k8s,Kotlin
144,pkl-k8s-examples,
145,pkl-lang.org,JavaScript
146,pkl-neovim,Scheme
147,pkl-package-docs,Kotlin
148,pkl-pantry,Kotlin
149,pkl-project-commons,
150,pkl-spring,Java
151,pkl-swift,Swift
152,pkl-swift-examples,Swift
153,pkl-vscode,TypeScript
154,pkl.tmbundle,
155,sample-backyard-birds,Swift
156,sample-cloudkit-coredatasync,Swift
157,sample-cloudkit-encryption,Swift
158,sample-cloudkit-privatedb,Swift
159,sample-cloudkit-privatedb-sync,Swift
160,sample-cloudkit-queries,Swift
161,sample-cloudkit-sharing,Swift
162,sample-cloudkit-sync-engine,Swift
163,sample-cloudkit-tooling,JavaScript
164,sample-cloudkit-zonesharing,Swift
165,sample-food-truck,Swift
166,servicetalk,Java
167,sourcekit-lsp,Swift
168,swift,C++
169,swift-3-api-guidelines-review,Swift
170,swift-algorithms,Swift
171,swift-aoc-starter-example,Swift
172,swift-argument-parser,Swift
173,swift-asn1,Swift
174,swift-async-algorithms,Swift
175,swift-async-dns-resolver,Swift
176,swift-atomics,Swift
177,swift-book,Markdown
178,swift-cassandra-client,Swift
179,swift-certificates,Swift
180,swift-clang,C++
181,swift-clang-tools-extra,C++
182,swift-cluster-membership,Swift
183,swift-cmake-examples,CMake
184,swift-cmark,C
185,swift-collections,Swift
186,swift-collections-benchmark,Swift
187,swift-community-hosted-continuous-integration,
188,swift-compiler-rt,C
189,swift-corelibs-foundation,Swift
190,swift-corelibs-libdispatch,C
191,swift-corelibs-xctest,Swift
192,swift-crypto,C
193,swift-distributed-actors,Swift
194,swift-distributed-tracing,Swift
195,swift-distributed-tracing-baggage-core,Swift
196,swift-distributed-tracing-extras,Swift
197,swift-docc,Swift
198,swift-docc-plugin,Swift
199,swift-docc-render,JavaScript
200,swift-docc-render-artifact,
201,swift-docc-symbolkit,Swift
202,swift-docker,Dockerfile
203,swift-driver,Swift
204,swift-evolution,Markdown
205,swift-evolution-staging,Swift
206,swift-experimental-string-processing,Swift
207,swift-format,Swift
208,swift-foundation,Swift
209,swift-foundation-icu,C
210,swift-getting-started-cli,Swift
211,swift-getting-started-package-library,Swift
212,swift-http-structured-headers,Swift
213,swift-http-types,Swift
214,swift-installer-scripts,CMake
215,swift-integration-tests,Python
216,swift-internals,HTML
217,swift-issues,
218,swift-libcxx,C++
219,swift-llbuild,C++
220,swift-llbuild2,Swift
221,swift-lldb,C++
222,swift-llvm,LLVM
223,swift-llvm-bindings,Swift
224,swift-lmdb,C
225,swift-log,Swift
226,swift-markdown,Swift
227,swift-metrics,Swift
228,swift-metrics-extras,Swift
229,swift-mmio,Swift
230,swift-nio,Swift
231,swift-nio-examples,Swift
232,swift-nio-extras,Swift
233,swift-nio-http2,Swift
234,swift-nio-imap,Swift
235,swift-nio-nghttp2-support,Swift
236,swift-nio-ssh,Swift
237,swift-nio-ssl,C
238,swift-nio-ssl-support,Swift
239,swift-nio-transport-services,Swift
240,swift-nio-zlib-support,Swift
241,swift-numerics,Swift
242,swift-openapi-generator,Swift
243,swift-openapi-runtime,Swift
244,swift-openapi-urlsession,Swift
245,swift-org-website,SCSS
246,swift-package-collection-generator,Swift
247,swift-package-manager,Swift
248,swift-package-registry-compatibility-test-suite,Swift
249,swift-protobuf,Swift
250,swift-protobuf-plugin,
251,swift-protobuf-test-conformance,
252,swift-sample-distributed-actors-transport,Swift
253,swift-sdk-generator,Swift
254,swift-se0270-range-set,Swift
255,swift-se0288-is-power,Swift
256,swift-service-context,Swift
257,swift-service-discovery,Swift
258,swift-source-compat-suite,Python
259,swift-standard-library-preview,Swift
260,swift-statsd-client,Swift
261,swift-stress-tester,Swift
262,swift-syntax,Swift
263,swift-system,Swift
264,swift-testing,Swift
265,swift-tools-support-async,Swift
266,swift-tools-support-core,Swift
267,swift-xcode-playground-support,Swift
268,swiftpm-on-llbuild2,Swift
269,tensorflow_macos,Shell
270,tree-sitter-pkl,C
271,turicreate,C++
272,unityplugins,C#
273,VideoFlashingReduction,Mathematica
274,vqg-multimodal-assistant,Python
